,date,pm25,pm10,o3,no2,so2,co,AQI_calculated
642,2022-05-19,157.58900034848656,158.5339612242091,49.743980531308466,34.225656921542026,8.013995681860123,9.650740503364888,329.0
643,2022-05-20,158.16000262343968,167.13796371618116,47.835378069490645,32.77250006270195,7.753284492431402,9.437052796581435,329.0
644,2022-05-21,158.78653837396843,160.7770747760548,50.83402873179458,32.80194983484548,7.526322360758376,9.251026910503006,330.0
645,2022-05-22,158.4258221418797,148.76712284598253,48.39597191369744,31.533091696974363,7.328740456148883,9.089082021693159,330.0
646,2022-05-23,149.95647795522473,136.758460724197,46.79131895241864,30.946285025752974,7.027285871209661,9.077550394249716,323.0
647,2022-05-24,141.28899214816764,131.09394839266596,49.407323288595606,30.56488980333478,6.894304123084867,9.067511531883898,316.0
648,2022-05-25,142.15772898453184,127.8455487919451,54.92092488922578,31.656810778309445,6.907986410108615,9.188221717469363,317.0
649,2022-05-26,144.5968519430062,126.82994634410551,54.54281259317874,32.089584985338256,6.790447966400221,8.904957488077471,319.0
650,2022-05-27,146.84968093375113,143.68039478650127,53.04860126714825,31.689639751840343,6.688124835718346,9.046710194413222,321.0
651,2022-05-28,148.94033167185,148.77029772089023,55.24295122779128,30.823669281943364,6.728496929832007,8.911214091104874,322.0
652,2022-05-29,151.795944538394,147.50553771117018,57.54159204912571,30.45814674716522,6.634193352076787,8.793257896149965,324.0
653,2022-05-30,153.3757532346267,160.90284192118267,61.87276552245775,31.434435720516454,6.681546843060751,9.078919511512892,326.0
654,2022-05-31,160.9646314279995,162.98661055801645,59.55914543704003,31.76654666551636,6.5933209452097685,9.198152895724187,332.0
655,2022-06-01,164.85269407356904,160.5288039095201,56.76832551532284,32.05566601295473,6.645965342071663,9.301951577324353,335.0
656,2022-06-02,165.7779090281362,156.57686659074653,56.280517795195244,32.177909541913515,6.691794946014399,9.262864107326077,335.0
657,2022-06-03,163.99436608212582,151.97146038912575,57.538699527093016,32.15487924761916,6.731691929450126,8.840488107554952,334.0
658,2022-06-04,162.95949970234673,148.22112055034685,55.397773840742694,31.487582924037998,6.766424267752562,8.343339004378214,333.0
659,2022-06-05,161.41134895042913,143.66176568846393,58.58251861035282,31.165566670102038,6.667211053877945,8.03999504723709,332.0
660,2022-06-06,158.89856040679567,158.85113589908696,56.69481955747498,30.496886891850753,6.710290404618873,7.646469352206781,330.0
661,2022-06-07,160.98288294957248,171.9448007873859,54.66313378823971,29.914767354218235,6.747793155463483,8.08058205218872,332.0
